date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2017.06,1,미이라,2017-06-06,30036990078,24.8%,30036990078,3628949,3628949,1257,101409,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2017.06,2,트랜스포머: 최후의 기사,2017-06-21,17493133328,14.4%,17493133328,2125953,2125953,1739,64793,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2017.06,3,원더 우먼,2017-05-31,16032253786,13.2%,17378566986,1942892,2153152,1034,52984,미국,미국,워너브러더스 코리아(주)
2017.06,4,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,9617815502,7.9%,24937474622,1180331,3045449,776,35368,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2017.06,5,악녀,2017-06-08,9493804744,7.8%,9502746744,1176711,1177875,685,43391,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2017.06,6,하루,2017-06-15,8721627698,7.2%,8726355698,1085087,1085678,781,41490,한국,한국,CGV아트하우스
2017.06,7,노무현입니다,2017-05-25,7852951300,6.5%,14305195012,997201,1821000,627,37304,한국,한국,"CGV아트하우스,영화사 풀"
2017.06,8,대립군,2017-05-31,5371851402,4.4%,6267195402,689156,836140,786,25450,한국,한국,이십세기폭스코리아(주)
2017.06,9,박열,2017-06-28,3770464126,3.1%,3770464126,536597,536597,1066,13759,한국,한국,메가박스중앙(주)플러스엠
2017.06,10,겟 아웃,2017-05-17,2373960000,2.0%,17368201175,289979,2128572,475,10629,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
2017.06,11,리얼,2017-06-28,1717338874,1.4%,1717338874,255180,255180,970,11389,한국,한국,씨제이이앤엠(주)
2017.06,12,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,822068000,0.7%,826226000,108730,109192,198,2673,일본,일본,씨제이이앤엠(주)
2017.06,13,보스 베이비,2017-05-03,722565200,0.6%,18913774204,98106,2449142,253,2460,미국,미국,씨제이이앤엠(주)
2017.06,14,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,475425000,0.4%,478083000,72926,73306,167,2828,영국,영국,와이드 릴리즈(주)
2017.06,15,더 서클,2017-06-22,536591400,0.4%,536591400,65910,65910,169,4909,미국,미국,씨네그루(주)키다리이엔티
2017.06,16,꼬마참새 리차드: 아프리카 원정대,2017-06-15,434251400,0.4%,434251400,58384,58384,319,2471,독일,"독일,벨기에,룩셈부르크,노르웨이",씨네그루(주)키다리이엔티
2017.06,17,나의 붉은고래,2017-06-15,433137000,0.4%,440118000,56108,57169,390,5587,중국,중국,(주)영화사 빅
2017.06,18,옥자,2017-06-29,372557400,0.3%,372557400,49479,49479,96,684,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
2017.06,19,심야식당 2,2017-06-08,356293400,0.3%,358005400,45379,45593,235,3756,일본,일본,(주)디스테이션
