date,category,전체,한국,외국
2004.01,매출액,19429676000,13278767500,6150908500
2004.01,관객수,3076067,2096038,980029
2004.01,스크린수,374,194,180
2004.01,상영횟수,26227,16435,9792
2004.02,매출액,19538678000,17097369000,2441309000
2004.02,관객수,3113385,2729928,383457
2004.02,스크린수,564,306,258
2004.02,상영횟수,30959,23313,7646
2004.03,매출액,11777867500,9504566000,2273301500
2004.03,관객수,1845368,1497349,348019
2004.03,스크린수,559,306,253
2004.03,상영횟수,36873,28074,8799
2004.04,매출액,20828686000,12939518000,7889168000
2004.04,관객수,3307663,2075441,1232222
2004.04,스크린수,904,491,413
2004.04,상영횟수,55331,31932,23399
2004.05,매출액,24678301700,14805908900,9872392800
2004.05,관객수,3817166,2290648,1526518
2004.05,스크린수,777,369,408
2004.05,상영횟수,55727,36812,18915
2004.06,매출액,42779574500,15723144000,27056430500
2004.06,관객수,6668461,2455387,4213074
2004.06,스크린수,1910,841,1069
2004.06,상영횟수,106745,44292,62453
2004.07,매출액,59721436000,27214332000,32507104000
2004.07,관객수,9451535,4310163,5141372
2004.07,스크린수,2165,1023,1142
2004.07,상영횟수,125303,61885,63418
2004.08,매출액,62567104000,39191397500,23375706500
2004.08,관객수,9845985,6183274,3662711
2004.08,스크린수,2081,1047,1034
2004.08,상영횟수,136902,79695,57207
2004.09,매출액,48702086500,29394988500,19307098000
2004.09,관객수,7597084,4611922,2985162
2004.09,스크린수,2302,1056,1246
2004.09,상영횟수,136996,78207,58789
2004.10,매출액,39860802000,26876634000,12984168000
2004.10,관객수,6254399,4252053,2002346
2004.10,스크린수,2419,1241,1178
2004.10,상영횟수,144800,83429,61371
2004.11,매출액,38372243506,22152223006,16220020500
2004.11,관객수,6032297,3503840,2528457
2004.11,스크린수,2442,1155,1287
2004.11,상영횟수,145205,75773,69432
2004.12,매출액,52472450500,10964402000,41508048500
2004.12,관객수,8245216,1735390,6509826
2004.12,스크린수,2989,1001,1988
2004.12,상영횟수,155593,46054,109539
2005.01,매출액,71880924289,20106759000,51774165289
2005.01,관객수,11318297,3173408,8144889
2005.01,스크린수,3234,1048,2186
2005.01,상영횟수,196816,50051,146765
2005.02,매출액,71545441000,50456441500,21088999500
2005.02,관객수,11296478,7996893,3299585
2005.02,스크린수,2763,1257,1506
2005.02,상영횟수,182961,118918,64043
2005.03,매출액,47398030182,26046236000,21351794182
2005.03,관객수,7430748,4122409,3308339
2005.03,스크린수,3330,1497,1833
2005.03,상영횟수,189325,85072,104253
2005.04,매출액,40978151503,30270377003,10707774500
2005.04,관객수,6451680,4756605,1695075
2005.04,스크린수,2795,1395,1400
2005.04,상영횟수,186764,126267,60497
2005.05,매출액,55131270506,33007084506,22124186000
2005.05,관객수,8738609,5225098,3513511
2005.05,스크린수,3181,1501,1680
2005.05,상영횟수,196155,103346,92809
2005.06,매출액,53637466286,24467660783,29169805503
2005.06,관객수,8448382,3868835,4579547
2005.06,스크린수,3476,1459,2017
2005.06,상영횟수,198837,98436,100401
2005.07,매출액,77893547696,24042820000,53850727696
2005.07,관객수,12274717,3776152,8498565
2005.07,스크린수,3925,1240,2685
2005.07,상영횟수,226288,69789,156499
2005.08,매출액,87680300893,60753819393,26926481500
2005.08,관객수,13895324,9572961,4322363
2005.08,스크린수,3702,1669,2033
2005.08,상영횟수,231099,132511,98588
2005.09,매출액,72408260000,56112023000,16296237000
2005.09,관객수,11453455,8865422,2588033
2005.09,스크린수,3927,2369,1558
2005.09,상영횟수,217116,148672,68444
2005.10,매출액,59350660003,45029782500,14320877503
2005.10,관객수,9352030,7054542,2297488
2005.10,스크린수,3466,2041,1425
2005.10,상영횟수,219479,147789,71690
2005.11,매출액,51945157500,33475506000,18469651500
2005.11,관객수,8249518,5318323,2931195
2005.11,스크린수,4742,2411,2331
2005.11,상영횟수,223256,133384,89872
2005.12,매출액,90515769609,47938985109,42576784500
2005.12,관객수,14442821,7615731,6827090
2005.12,스크린수,3964,2185,1779
2005.12,상영횟수,219531,124328,95203
2006.01,매출액,116912547400,91474908100,25437639300
2006.01,관객수,18563824,14470890,4092934
2006.01,스크린수,3634,2198,1436
2006.01,상영횟수,236905,167597,69308
2006.02,매출액,75883137100,55507753400,20375383700
2006.02,관객수,12114474,8876071,3238403
2006.02,스크린수,3739,2301,1438
2006.02,상영횟수,221624,149133,72491
2006.03,매출액,55290602100,39764241100,15526361000
2006.03,관객수,8715134,6260244,2454890
2006.03,스크린수,4138,2335,1803
2006.03,상영횟수,235732,159865,75867
2006.04,매출액,54390162100,27446449600,26943712500
2006.04,관객수,8625045,4323359,4301686
2006.04,스크린수,4782,2094,2688
2006.04,상영횟수,239193,98043,141150
2006.05,매출액,81953911700,28686188900,53267722800
2006.05,관객수,13174449,4616475,8557974
2006.05,스크린수,5030,2345,2685
2006.05,상영횟수,246186,124397,121789
2006.06,매출액,62957244100,18461897300,44495346800
2006.06,관객수,10054141,2933874,7120267
2006.06,스크린수,4305,1519,2786
2006.06,상영횟수,246732,76267,170465
2006.07,매출액,89928510800,49020293100,40908217700
2006.07,관객수,14579390,7921545,6657845
2006.07,스크린수,4504,2119,2385
2006.07,상영횟수,239411,118257,121154
2006.08,매출액,93746794500,75948859300,17797935200
2006.08,관객수,15403880,12511315,2892565
2006.08,스크린수,4939,3082,1857
2006.08,상영횟수,264992,198148,66844
2006.09,매출액,53162016000,43400005400,9762010600
2006.09,관객수,8624242,7048275,1575967
2006.09,스크린수,5007,3720,1287
2006.09,상영횟수,229128,176958,52170
2006.10,매출액,73453477800,62904231900,10549245900
2006.10,관객수,11813202,10082105,1731097
2006.10,스크린수,3693,2595,1098
2006.10,상영횟수,247108,194567,52541
2006.11,매출액,45829202400,25467043500,20362158900
2006.11,관객수,7657176,4254438,3402738
2006.11,스크린수,5266,3099,2167
2006.11,상영횟수,237676,139933,97743
2006.12,매출액,88934532000,50008501600,38926030400
2006.12,관객수,14931078,8447029,6484049
2006.12,스크린수,5793,3137,2656
2006.12,상영횟수,302657,174248,128409
2007.01,매출액,89205422300,49036141400,40169280900
2007.01,관객수,15013145,8272156,6740989
2007.01,스크린수,6247,3153,3094
